epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,,
0,,49,,4.815354347229004,,,,,
0,,99,,2.8835291862487793,,,,,
0,,149,,7.994665622711182,,,,,
0,,199,,7.355698585510254,,,,,
0,,249,,5.064429759979248,,,,,
0,,299,,9.611692428588867,,,,,
0,,349,,16.015256881713867,,,,,
0,,399,,7.920108318328857,,,,,
0,,449,,6.411293983459473,,,,,
0,,499,,6.265666484832764,,,,,
0,,549,,7.496877193450928,,,,,
0,,599,,7.981435298919678,,,,,
0,,649,,2.514984130859375,,,,,
0,,699,,7.585855960845947,,,,,
0,,739,,,5.749655246734619,44131480.0,20.066373825073242,1.4816502332687378,5.749655246734619
0,,739,8.572853088378906,,,,,,
,0.0003,740,,,,,,,
1,,749,,14.883666038513184,,,,,
1,,799,,3.922337055206299,,,,,
1,,849,,6.467833042144775,,,,,
1,,899,,16.991535186767578,,,,,
1,,949,,5.242488384246826,,,,,
1,,999,,10.48774242401123,,,,,
1,,1049,,9.908913612365723,,,,,
1,,1099,,5.691518306732178,,,,,
1,,1149,,7.856159687042236,,,,,
1,,1199,,14.902822494506836,,,,,
1,,1249,,14.539010047912598,,,,,
1,,1299,,3.9139037132263184,,,,,
1,,1349,,7.664333343505859,,,,,
1,,1399,,4.46829080581665,,,,,
1,,1449,,4.8761210441589355,,,,,
1,,1479,,,4.900419235229492,19832668.0,18.304662704467773,1.4975955486297607,4.900419235229492
1,,1479,7.501711845397949,,,,,,
,0.0003,1480,,,,,,,
2,,1499,,4.458496570587158,,,,,
2,,1549,,5.120025634765625,,,,,
2,,1599,,8.82884693145752,,,,,
2,,1649,,5.296699523925781,,,,,
2,,1699,,6.767022132873535,,,,,
2,,1749,,4.579227924346924,,,,,
2,,1799,,3.2273623943328857,,,,,
2,,1849,,3.820643901824951,,,,,
2,,1899,,5.22930383682251,,,,,
2,,1949,,4.612022876739502,,,,,
2,,1999,,6.580267906188965,,,,,
2,,2049,,5.957787990570068,,,,,
2,,2099,,3.3095927238464355,,,,,
2,,2149,,4.585252285003662,,,,,
2,,2199,,5.002731800079346,,,,,
2,,2219,,,4.741207599639893,23407420.0,17.351383209228516,1.481218934059143,4.741207599639893
2,,2219,6.8276214599609375,,,,,,
,0.0003,2220,,,,,,,
3,,2249,,11.590691566467285,,,,,
3,,2299,,3.5062015056610107,,,,,
3,,2349,,5.720516681671143,,,,,
3,,2399,,5.960330009460449,,,,,
3,,2449,,11.046205520629883,,,,,
3,,2499,,4.3617682456970215,,,,,
3,,2549,,8.100985527038574,,,,,
3,,2599,,11.84715461730957,,,,,
3,,2649,,2.1784508228302,,,,,
3,,2699,,6.12910795211792,,,,,
3,,2749,,4.357903003692627,,,,,
3,,2799,,5.69035005569458,,,,,
3,,2849,,5.247276782989502,,,,,
3,,2899,,10.40727710723877,,,,,
3,,2949,,7.852756023406982,,,,,
3,,2959,,,4.589944362640381,25775566.0,17.86400604248047,1.453090786933899,4.589944362640381
3,,2959,6.387617588043213,,,,,,
,0.0003,2960,,,,,,,
4,,2999,,4.0852155685424805,,,,,
4,,3049,,3.769930601119995,,,,,
