stage,loss,inputs,n_features,cv_mean_smape,cv_std_smape,train_time_min,val_smape,val_rmse,val_mae,val_mse
A1,rmse,sales_only,1,1.0328831684162905,0.08371776842085117,5.22125255,1.344463808279901,830.3501524343743,283.7326942881684,689481.3756477886
A2,rmse,all_features,124,1.1174279183539992,0.048717486897609644,32.661956966666665,,,,
B1,mae,all_features,124,1.1505780646933164,0.08123121759049452,55.24031256666667,,,,
B2,mse,all_features,124,1.1156837843918186,0.07392897366380094,33.2090594,,,,
B3,rmse,all_features,124,1.1174279183539992,0.048717486897609644,32.661956966666665,,,,
