stage,loss,inputs,fold_id,epoch,train_loss,val_smape,learning_rate
A1,rmse,sales_only,1,0,56.165960571982644,1.207292208275526,5.0520892449790905e-05
A1,rmse,sales_only,1,1,54.87733004309914,1.2608903356641685,8.162236489108008e-05
A1,rmse,sales_only,1,2,54.344903859225184,1.2302905499741275,0.00013194102046309693
A1,rmse,sales_only,1,3,53.78257942199707,1.2417896583327495,0.00019927103765129451
A1,rmse,sales_only,1,4,52.2922701402144,1.5093543460894434,0.00028066086699950795
A1,rmse,sales_only,1,5,47.373534419319846,1.2371353531913118,0.00037254261833657293
A1,rmse,sales_only,1,6,44.81095639142123,1.16085077247751,0.0004708884665628408
A1,rmse,sales_only,1,7,43.46689440987327,1.37714481944547,0.0005713872196280113
A1,rmse,sales_only,1,8,41.76968609202992,1.2940674429064356,0.0006696333084806815
A1,rmse,sales_only,1,9,40.0067758993669,1.2644143418739704,0.0007613199142273867
A1,rmse,sales_only,1,10,40.49610818516124,1.2856947242146706,0.0008424277663758452
A1,rmse,sales_only,1,11,40.14414410157637,1.4322049428188923,0.0009094013358040267
A1,rmse,sales_only,1,12,37.823826182972304,1.1274355098788855,0.0009593046986747117
A1,rmse,sales_only,1,13,37.745070154016666,1.2670806940535673,0.000989950238681045
A1,rmse,sales_only,1,14,36.114709940823644,1.312787699433359,0.0009999989596093883
A1,rmse,sales_only,1,15,36.42843437194824,1.2469241703071512,0.0009978946873945966
A1,rmse,sales_only,1,16,36.013929237018935,1.2547613544005682,0.000991781676017063
A1,rmse,sales_only,1,17,35.81550190665505,1.1347438882874246,0.0009817091438500067
A1,rmse,sales_only,1,18,35.284439607100055,1.1222796110893323,0.000967758188999884
A1,rmse,sales_only,1,19,34.348345864902846,0.9708019829945281,0.0009500411363521194
A1,rmse,sales_only,1,20,33.305238246917725,1.1874669970340344,0.0009287006331971746
A1,rmse,sales_only,1,21,33.12675007906827,1.0943918662820937,0.0009039085007184403
A1,rmse,sales_only,1,22,33.087761575525455,0.9340922065261502,0.0008758643505890975
A1,rmse,sales_only,1,23,31.90242507240989,1.1142085387179141,0.0008447939778162947
A1,rmse,sales_only,1,24,32.314843741330236,0.9888149635983761,0.0008109475427725148
A1,rmse,sales_only,1,25,31.650980429215863,0.9662967240259744,0.000774597557051349
A1,rmse,sales_only,1,26,31.766024762933906,1.0427503814932029,0.0007360366893643786
A1,rmse,sales_only,1,27,29.477679556066338,1.0743043187164354,0.0006955754091447961
A1,rmse,sales_only,1,28,29.259473887356844,1.0342092365220046,0.0006535394868300821
A1,rmse,sales_only,1,29,27.314554366198454,0.9434562139394473,0.0006102673709499925
A1,rmse,sales_only,1,30,28.336983832446013,1.1162354285944416,0.0005661074631380016
A1,rmse,sales_only,1,31,27.496822595596313,1.0116180578167921,0.0005214153130062066
