epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,8.391011238098145,,,,,
0,,99,,11.194859504699707,,,,,
0,,149,,11.959721565246582,,,,,
0,,199,,9.4312162399292,,,,,
0,,249,,7.6394171714782715,,,,,
0,,299,,6.892574787139893,,,,,
0,,349,,7.057698726654053,,,,,
0,,399,,11.934199333190918,,,,,
0,,449,,8.813973426818848,,,,,
0,,499,,11.220117568969727,,,,,
0,,549,,9.485769271850586,,,,,
0,,599,,12.59807014465332,,,,,
0,,649,,6.911365985870361,,,,,
0,,699,,6.007504940032959,,,,,
0,,739,,,5.1590142250061035,21440526.0,20.167560577392578,1.5116316080093384,5.1590142250061035
0,,739,8.207782745361328,,,,,,
,0.001,740,,,,,,,
1,,749,,4.842007160186768,,,,,
1,,799,,6.616470813751221,,,,,
1,,849,,3.534799575805664,,,,,
1,,899,,6.1353068351745605,,,,,
1,,949,,4.9564666748046875,,,,,
1,,999,,6.781899452209473,,,,,
1,,1049,,10.240324020385742,,,,,
1,,1099,,6.437889575958252,,,,,
1,,1149,,8.645140647888184,,,,,
1,,1199,,7.451652526855469,,,,,
1,,1249,,4.1021952629089355,,,,,
1,,1299,,16.141368865966797,,,,,
1,,1349,,4.2463698387146,,,,,
1,,1399,,9.22667407989502,,,,,
1,,1449,,7.9755730628967285,,,,,
1,,1479,,,4.7138991355896,18793776.0,18.932044982910156,1.516065239906311,4.7138991355896
1,,1479,6.863198280334473,,,,,,
,0.001,1480,,,,,,,
2,,1499,,3.753850221633911,,,,,
2,,1549,,7.353006839752197,,,,,
2,,1599,,5.648582458496094,,,,,
2,,1649,,4.53214693069458,,,,,
2,,1699,,10.18348217010498,,,,,
2,,1749,,8.590391159057617,,,,,
2,,1799,,5.738873481750488,,,,,
2,,1849,,4.743348598480225,,,,,
2,,1899,,8.247026443481445,,,,,
2,,1949,,4.3992815017700195,,,,,
2,,1999,,10.315735816955566,,,,,
2,,2049,,8.809758186340332,,,,,
2,,2099,,3.0279428958892822,,,,,
2,,2149,,8.102989196777344,,,,,
2,,2199,,9.010011672973633,,,,,
2,,2219,,,4.561074256896973,20976702.0,18.312002182006836,1.482231616973877,4.561074256896973
2,,2219,6.306820869445801,,,,,,
,0.001,2220,,,,,,,
3,,2249,,7.267331123352051,,,,,
3,,2299,,3.9336400032043457,,,,,
3,,2349,,5.433196544647217,,,,,
3,,2399,,4.993483543395996,,,,,
3,,2449,,3.9915149211883545,,,,,
3,,2499,,8.0266695022583,,,,,
3,,2549,,7.39585018157959,,,,,
3,,2599,,5.95537805557251,,,,,
3,,2649,,4.788960933685303,,,,,
3,,2699,,11.004082679748535,,,,,
3,,2749,,3.24904465675354,,,,,
3,,2799,,6.588481426239014,,,,,
3,,2849,,2.8698132038116455,,,,,
3,,2899,,3.5003440380096436,,,,,
3,,2949,,8.1102876663208,,,,,
3,,2959,,,4.3442864418029785,32442834.0,17.246536254882812,1.4248943328857422,4.3442864418029785
3,,2959,5.909921169281006,,,,,,
,0.001,2960,,,,,,,
4,,2999,,5.609921932220459,,,,,
4,,3049,,5.292358875274658,,,,,
4,,3099,,5.991818904876709,,,,,
4,,3149,,4.016903877258301,,,,,
4,,3199,,8.450240135192871,,,,,
4,,3249,,4.674488544464111,,,,,
4,,3299,,7.071042537689209,,,,,
4,,3349,,4.052209377288818,,,,,
4,,3399,,4.580358028411865,,,,,
4,,3449,,4.229621410369873,,,,,
4,,3499,,4.7720947265625,,,,,
4,,3549,,3.5419018268585205,,,,,
4,,3599,,5.305843830108643,,,,,
4,,3649,,3.189957857131958,,,,,
4,,3699,,3.493992567062378,,,,,
4,,3699,,,4.144498825073242,22070372.0,16.940601348876953,1.444320797920227,4.144498825073242
4,,3699,5.649704933166504,,,,,,
,0.001,3700,,,,,,,
5,,3749,,4.779651165008545,,,,,
5,,3799,,5.56443452835083,,,,,
5,,3849,,7.731156826019287,,,,,
5,,3899,,5.990771770477295,,,,,
5,,3949,,9.982564926147461,,,,,
5,,3999,,10.691513061523438,,,,,
5,,4049,,5.11476993560791,,,,,
5,,4099,,4.381178379058838,,,,,
5,,4149,,3.3970770835876465,,,,,
5,,4199,,9.244916915893555,,,,,
5,,4249,,3.1099727153778076,,,,,
5,,4299,,8.123150825500488,,,,,
5,,4349,,4.089371681213379,,,,,
5,,4399,,5.5505852699279785,,,,,
5,,4439,,,4.405126571655273,23382948.0,18.051218032836914,1.4660388231277466,4.405126571655273
5,,4439,5.43901252746582,,,,,,
,0.001,4440,,,,,,,
6,,4449,,7.489306926727295,,,,,
