trial_number,stage,objective_value,params,state,ckpt_path,cfg_path,best_val_loss
0,stage2,6.45151186558206,"{'w_mae': 0.9501167220878377, 'w_mse': 0.005997182955817193, 'w_smape': 0.26957814595114327, 'smape_delta': 0.031010825638469883, 'smape_eps': 0.024567438537143313, 'batch_size': 128, 'epochs': 19, 'd_model': 320, 'n_heads': 4, 'depth': 2, 'patch_len': 8, 'stride': 1, 'dropout': 0.007060055722292506, 'lr': 0.00011929221522976214, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_000/best.pt,optuna_trial_results/stage2_trial_000/config.json,6.45151186558206
1,stage2,6.496426077977278,"{'w_mae': 0.6705240736482423, 'w_mse': 0.003504503274137651, 'w_smape': 0.14028083406923358, 'smape_delta': 0.018174371989771756, 'smape_eps': 0.001542429408475208, 'batch_size': 256, 'epochs': 19, 'd_model': 192, 'n_heads': 4, 'depth': 3, 'patch_len': 8, 'stride': 2, 'dropout': 0.05641790880976126, 'lr': 0.0001501778087396426, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_001/best.pt,optuna_trial_results/stage2_trial_001/config.json,6.496426077977278
2,stage2,7.881138633454991,"{'w_mae': 0.9520752162550459, 'w_mse': 0.01080923157447405, 'w_smape': 0.2559459628466795, 'smape_delta': 0.025839067823871034, 'smape_eps': 0.036291631659265015, 'batch_size': 128, 'epochs': 18, 'd_model': 320, 'n_heads': 4, 'depth': 2, 'patch_len': 8, 'stride': 1, 'dropout': 0.0031056913261956432, 'lr': 0.0001303291639814937, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_002/best.pt,optuna_trial_results/stage2_trial_002/config.json,7.881138633454991
3,stage2,8.118460871136495,"{'w_mae': 0.9861490989589965, 'w_mse': 0.011071250035137922, 'w_smape': 0.23017083091289153, 'smape_delta': 0.02623112633375553, 'smape_eps': 0.04130921594447785, 'batch_size': 128, 'epochs': 18, 'd_model': 192, 'n_heads': 4, 'depth': 2, 'patch_len': 16, 'stride': 1, 'dropout': 0.08362986317225649, 'lr': 0.00017850705608912158, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_003/best.pt,optuna_trial_results/stage2_trial_003/config.json,8.118460871136495
4,stage2,15.889406655607258,"{'w_mae': 0.578280140996174, 'w_mse': 0.035942273796742086, 'w_smape': 0.46559801813246016, 'smape_delta': 0.0461184008797794, 'smape_eps': 0.0005934255548108262, 'batch_size': 128, 'epochs': 24, 'd_model': 320, 'n_heads': 4, 'depth': 3, 'patch_len': 8, 'stride': 1, 'dropout': 0.023536914402679788, 'lr': 0.00010900492537293822, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_004/best.pt,optuna_trial_results/stage2_trial_004/config.json,15.889406655607258
5,stage2,42.79602674030801,"{'w_mae': 0.5683086033354716, 'w_mse': 0.09367476782809248, 'w_smape': 0.3677158030594335, 'smape_delta': 0.014809483971727143, 'smape_eps': 0.0004555339282531123, 'batch_size': 128, 'epochs': 21, 'd_model': 128, 'n_heads': 4, 'depth': 3, 'patch_len': 7, 'stride': 4, 'dropout': 0.28908599312677585, 'lr': 0.0018196941426454093, 'wd_is_zero': False, 'weight_decay_pos': 0.0001801703646753893}",COMPLETE,optuna_trial_results/stage2_trial_005/best.pt,optuna_trial_results/stage2_trial_005/config.json,42.79602674030801
6,stage2,45.77205370167448,"{'w_mae': 0.6799557805561157, 'w_mse': 0.11276849870353095, 'w_smape': 0.28392500661834597, 'smape_delta': 0.034823889934382166, 'smape_eps': 0.019750479649649277, 'batch_size': 128, 'epochs': 16, 'd_model': 320, 'n_heads': 4, 'depth': 2, 'patch_len': 4, 'stride': 1, 'dropout': 0.1796079551904507, 'lr': 0.0002561894608606315, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_006/best.pt,optuna_trial_results/stage2_trial_006/config.json,45.77205370167448
7,stage2,62.301587366572285,"{'w_mae': 0.999362438641551, 'w_mse': 0.23516380473486825, 'w_smape': 0.24468829264494196, 'smape_delta': 0.024324536749793298, 'smape_eps': 0.049101994747419546, 'batch_size': 128, 'epochs': 18, 'd_model': 320, 'n_heads': 4, 'depth': 2, 'patch_len': 8, 'stride': 1, 'dropout': 0.011148068719646582, 'lr': 0.000119224198794395, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_007/best.pt,optuna_trial_results/stage2_trial_007/config.json,62.301587366572285
8,stage2,68.8807787198247,"{'w_mae': 0.31692200515627766, 'w_mse': 0.1694927466860925, 'w_smape': 0.5568012624583502, 'smape_delta': 0.23099085509794084, 'smape_eps': 0.007560726762413614, 'batch_size': 512, 'epochs': 25, 'd_model': 256, 'n_heads': 4, 'depth': 4, 'patch_len': 7, 'stride': 4, 'dropout': 0.2670016025452699, 'lr': 0.0003156892767756196, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_008/best.pt,optuna_trial_results/stage2_trial_008/config.json,68.8807787198247
9,stage2,90.00412974097324,"{'w_mae': 0.7282163486118596, 'w_mse': 0.3677831327192532, 'w_smape': 0.6323058305935795, 'smape_delta': 0.06690855515432795, 'smape_eps': 0.002792799778748392, 'batch_size': 256, 'epochs': 17, 'd_model': 256, 'n_heads': 4, 'depth': 4, 'patch_len': 6, 'stride': 1, 'dropout': 0.24516666006036475, 'lr': 0.000660843951593475, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage2_trial_009/best.pt,optuna_trial_results/stage2_trial_009/config.json,90.00412974097324
